stimulus_number,r_score
2451611,1.698666451943609e-08
926119,1.924663095564938e-08
1280952,-4.205136860946368e-08
421593,-4.317423218935801e-08
1552879,4.5548738114575826e-08
1814838,-5.2068887868017555e-08
2716732,-6.520176043522952e-08
676040,-6.640988914341506e-08
1472705,7.387912859257995e-08
611790,7.691361503248118e-08
1284195,8.560963493664531e-08
1750284,1.1660021215220695e-07
1308689,1.2969553608854767e-07
2532796,1.314020465770227e-07
1899707,1.4914191126536025e-07
1217953,1.5680605258694413e-07
1157865,-1.6375803113533038e-07
2131147,-1.6952550652149512e-07
2037664,-1.7161880805360852e-07
1407012,-1.7699741761134646e-07
998610,-1.893019714316324e-07
496524,1.9949273166730563e-07
2805278,2.097758056152088e-07
417323,2.25345374360586e-07
1059486,-2.3518222747043183e-07
495689,-2.362905888730893e-07
2804940,-2.448994393944304e-07
259692,-2.515116648282856e-07
555225,-2.529035043608019e-07
1272833,2.6170062028540997e-07
16105,-2.7171606120646175e-07
2258564,2.812569732668635e-07
904372,-2.848086637641245e-07
1190743,2.863307031475415e-07
1078036,2.9280670332809677e-07
814664,-2.936299381417484e-07
1863705,-2.9890634323237464e-07
2535491,-2.9954327374071e-07
1579123,-3.0760523372919124e-07
1657029,3.085433490923606e-07
2233753,3.1038601377986197e-07
996624,3.155429624257522e-07
966680,-3.222399698188383e-07
1847976,3.350651525124704e-07
1927758,3.395161343178188e-07
1238529,3.4181542218902905e-07
2647015,3.464107578565745e-07
909321,-3.489787445687398e-07
233602,3.55808623453413e-07
1994142,3.6633321087720105e-07
2568362,3.709775171500951e-07
2387796,-3.730697244463954e-07
2494628,3.79780829007359e-07
278631,3.953740019824181e-07
2914163,3.996662201188883e-07
2703685,-3.9988725575312856e-07
1431874,4.008670657640323e-07
899748,-4.061237177666044e-07
74215,4.2744255779325613e-07
2828709,-4.317760726735287e-07
147383,-4.328826150867826e-07
2397925,4.393964161408803e-07
483486,4.742932731005567e-07
420326,4.749423965222377e-07
1719970,4.788079763784481e-07
722100,4.864015750172257e-07
2034456,-4.994984124095936e-07
2635071,-5.039878487878013e-07
553200,-5.0800321105271e-07
152390,5.104355977891828e-07
1355627,-5.269702114674146e-07
350588,-5.391860895542777e-07
1367693,-5.42938607850374e-07
819736,5.470600399348768e-07
582979,5.509784273272089e-07
60286,5.741802056036249e-07
220473,5.813786287944822e-07
2532285,-5.900931228097761e-07
1420861,-5.910787876928225e-07
2842013,5.975691692583496e-07
2718184,6.06465164310066e-07
1577786,6.06595051522163e-07
1368757,-6.088553732297441e-07
1820870,-6.298913604041445e-07
408103,6.342210099319345e-07
2109193,6.588195446965983e-07
797337,6.604261102438613e-07
2924453,-6.666222702733648e-07
1946461,-6.735285182912776e-07
2925956,-6.970382173676626e-07
857198,-7.012519063209766e-07
1919295,7.213193384814076e-07
1536158,-7.259252470248612e-07
635964,-7.406737267956487e-07
1021020,-7.482908586098347e-07
2135216,7.500923402403714e-07
719624,-7.606203098475817e-07
2597688,7.622722932865145e-07
1880144,-7.678272027078492e-07
1405387,-7.771913033138844e-07
1794042,7.8193033914431e-07
108620,-7.847879146538617e-07
2790538,-7.969555895215308e-07
784429,8.430392313130142e-07
898000,8.450996915598807e-07
752790,8.536991913388192e-07
1028287,9.004131129586312e-07
2609810,9.011210977405426e-07
361979,9.21862238101312e-07
2901761,-9.22800666103285e-07
2432326,-9.256077646568883e-07
555467,9.297862106905086e-07
597689,9.307161121796526e-07
154003,-9.393151572112401e-07
2550707,-9.450760671825265e-07
492369,9.461950867262203e-07
466454,-9.72164230006456e-07
2900165,-9.789252999325981e-07
2782301,9.853127949099871e-07
1570605,9.943063332684687e-07
1668805,9.946290902007604e-07
221531,9.971915915230056e-07
1090546,1.0119814533027238e-06
930071,-1.0257851954520447e-06
1628187,-1.0337108733438072e-06
197299,-1.0380747426097514e-06
1484524,-1.0468332902746624e-06
2715669,-1.0490874728930066e-06
708162,-1.0572956625765073e-06
1654056,1.06686047729454e-06
2431727,1.0694611773942597e-06
620973,1.07070911781193e-06
2368386,1.0714509244280634e-06
25120,1.0738876881077886e-06
1620461,-1.0805945294123376e-06
1794845,-1.082241396943573e-06
2812592,1.0965757155645406e-06
1054306,-1.1043986205550027e-06
2674806,1.1159552286699181e-06
2120094,1.1192330475751078e-06
2434077,-1.1257543519604951e-06
66382,1.131007820731611e-06
2650103,1.140330368798459e-06
1580482,1.1704515827659634e-06
2553468,1.1737710110537591e-06
2292833,1.188651253869466e-06
1894912,-1.1903816812264267e-06
1086910,1.1914058859474608e-06
2578512,1.203567421725893e-06
854654,-1.221918410010403e-06
1548473,1.237215542460035e-06
2884028,1.2563774589580134e-06
995263,-1.264753564100829e-06
