stimulus_number,r_score
966129,-1.127121684874055e-08
1067883,1.1821363443687005e-08
1893147,-4.6408711540379954e-08
2519736,7.827969028539883e-08
2118128,-8.4771762942637e-08
920816,1.0571610431497902e-07
499550,-1.0865069555165974e-07
364046,-1.199956898290111e-07
1633194,-1.247588841124525e-07
144254,-1.2615608113719645e-07
770646,-1.4717340945935575e-07
212146,1.6198004004763789e-07
1324224,1.6270793423700525e-07
1974580,1.707415719920391e-07
2380621,-1.8207758500921045e-07
888164,1.8565930304248468e-07
390337,1.878820086176347e-07
52957,-1.982649280307669e-07
351826,2.0992767701955017e-07
852895,2.1006637496157055e-07
746920,-2.3437290508354636e-07
2416540,2.3558496309306065e-07
2100075,-2.395464946403081e-07
1559140,2.481111494034849e-07
254758,2.506042733330105e-07
1708892,2.5674336256997776e-07
813995,2.688431948172365e-07
33624,2.7406400704421685e-07
1673452,2.8078036962142505e-07
633301,3.0561588459931954e-07
2184351,-3.144260460885562e-07
2273177,-3.2749883871474594e-07
201567,-3.684671412429452e-07
715678,-3.751675023977441e-07
1789042,-3.812357647348108e-07
2204030,3.825908549970336e-07
490292,4.0687172031539376e-07
1248677,4.0996022221406747e-07
1386370,4.105969253487274e-07
1832684,-4.2052232629430364e-07
2034167,4.3912459091188794e-07
627157,4.417402124090586e-07
832705,4.428729027949885e-07
606192,-4.442512704372348e-07
2115323,4.668105475502671e-07
1880804,-4.757037856961688e-07
2209754,4.765276457874279e-07
290031,-4.878688741882797e-07
823780,-4.999253633286571e-07
2442361,5.07021866269497e-07
2097875,5.299983740769676e-07
846716,-5.345714271243196e-07
230438,-5.43818657661177e-07
1285990,5.571371275436832e-07
1531735,-5.575778914135299e-07
2455734,5.601482939709967e-07
1592129,5.615227109956322e-07
708386,-5.676455998582242e-07
107349,-5.682874757440004e-07
2514716,-5.721984166484617e-07
1286055,-5.732908334721287e-07
1617401,5.89871433476219e-07
2540015,6.119230988588242e-07
30544,6.172542725835228e-07
2485538,-6.173609108373057e-07
2514632,6.393981379915203e-07
524535,6.459331416408531e-07
772560,-6.497261892945971e-07
847501,-6.617512440243445e-07
383122,-6.78694789257861e-07
837594,6.91342336267553e-07
1845027,7.011978482296399e-07
83820,-7.079293595779745e-07
2318346,-7.079553938638128e-07
185130,-7.307876330742147e-07
2456914,7.344132768594136e-07
1468650,7.418730660901929e-07
2152103,-7.436783562297933e-07
1717516,-7.554249350505415e-07
2685736,-7.674814241909189e-07
1416385,7.733395364084572e-07
351794,-7.752366855129367e-07
1653861,-7.795609349159349e-07
933016,7.803758990121423e-07
1782091,7.859884476602019e-07
1921945,7.87700344062614e-07
1455560,-8.335498478118097e-07
1673472,8.87035469077091e-07
1372543,8.872802368387056e-07
1194259,8.942612907958392e-07
2233970,9.084495218303346e-07
2098961,-9.177928745884856e-07
972144,-9.1847226713071e-07
1263190,-9.281123993787332e-07
323739,9.491337209510675e-07
2389297,-9.646662419982022e-07
63332,9.699618885861128e-07
1278798,9.795161304282374e-07
334176,-9.885262670650263e-07
476253,-1.0075294767375453e-06
1568904,1.0111464234796586e-06
2594432,-1.0126896086148918e-06
930786,1.027379767037928e-06
1289865,-1.034388446896628e-06
503104,-1.0461072861289722e-06
1791871,-1.0594794730423018e-06
320025,1.0616291774567799e-06
458777,1.0762167903521913e-06
2608377,-1.0816013400472002e-06
1667784,1.0938107379843132e-06
1525213,1.0969580443997984e-06
1269675,1.097981566999806e-06
2304969,-1.1003996860381449e-06
612648,-1.108971559915517e-06
2557564,1.1160200301674195e-06
417922,-1.120201659432496e-06
1625672,1.1215593076485675e-06
1779454,1.125124640566355e-06
2645024,1.1278489182586782e-06
1560586,1.1392687611078145e-06
876536,1.1538847957126563e-06
2081813,-1.1576441920624347e-06
1879648,1.1638406931524514e-06
1206056,-1.169897132058395e-06
1755600,-1.1714010952346143e-06
537598,-1.190112470794702e-06
1023966,1.1962175676671905e-06
2536695,-1.2032229506075964e-06
2306490,1.211873041029321e-06
2583835,1.2228667856106767e-06
291265,-1.2323296232352732e-06
74527,1.232374643223011e-06
1851855,1.2338718988758046e-06
2262329,-1.268751589122985e-06
2578028,-1.2739993735522148e-06
2248228,-1.2761062180288718e-06
1130295,1.2833382925236947e-06
690453,1.28444776237302e-06
1823357,1.294792468797823e-06
552066,-1.2982798125449335e-06
1154680,1.3194332950661192e-06
2457843,1.3207406936999178e-06
805150,1.3229489468358224e-06
588063,1.3423201608020463e-06
1102783,1.342360747003113e-06
83647,1.3451826816890389e-06
550864,1.3731480521528283e-06
1761229,1.3760487718172953e-06
2634690,1.3880902542950935e-06
1797030,-1.3926800193075906e-06
1995467,1.392915464748512e-06
66635,-1.39397889142856e-06
1471313,1.3972644410387147e-06
